college_name,city,state,stream,programs,annual_fees,avg_placement,highest_placement,eligibility,hostel,college_type,website
"Anil Surendra Modi School of Commerce","Mumbai","Maharashtra","Commerce","B.Com|B.Sc. Finance|BBA",250000,650000,1300000,"12th or equivalent","Yes","Private","https://commerce.nmims.edu/"
"Christ University Bengaluru","Bengaluru","Karnataka","Commerce","B.Com|B.Com Finance|B.Com International Finance|BBA",180000,600000,1200000,"12th or equivalent","Yes","Private","https://christuniversity.in/"
"Indian Institute of Information Technology Bangalore","Bengaluru","Karnataka","Science","B.Tech CSE|B.Tech AI and Data Science|B.Tech Electronics",320000,1900000,5000000,"12th Science with PCM and entrance qualification","Yes","Government","https://iiitb.ac.in/"
"PES University","Bengaluru","Karnataka","Science","B.Tech CSE|B.Tech AI & ML|B.Tech ECE|B.Tech Mechanical|B.Tech Biotechnology",300000,1200000,2500000,"12th Science with PCM or equivalent","Yes","Private","https://pes.edu/"
"Fergusson College","Pune","Maharashtra","Arts","B.A.|B.Sc.|B.Voc.",35000,350000,700000,"12th or equivalent","No","Private","https://fergusson.edu/"
"Ramnarain Ruia Autonomous College","Mumbai","Maharashtra","Arts","B.A.|B.Sc.|B.Com",45000,400000,850000,"12th or equivalent","No","Private","https://ruiacollege.edu/"
"Mithibai College Mumbai","Mumbai","Maharashtra","Arts","B.A.|B.Com|B.Sc.",55000,450000,900000,"12th or equivalent","No","Private","https://mithibai.ac.in/"
"Ramjas College","New Delhi","Delhi","Arts","B.A.|B.Com|B.Sc.",30000,450000,900000,"12th or equivalent","No","Government","https://ramjas.du.ac.in/"
"Hindu College","New Delhi","Delhi","Arts","B.A.|B.Com|B.Sc.",30000,500000,1000000,"12th or equivalent","No","Government","https://hinducollege.ac.in/"
"St. Stephen's College","New Delhi","Delhi","Arts","B.A.|B.Sc.",30000,500000,1000000,"12th or equivalent","No","Government","https://www.ststephens.edu/"
"Miranda House","New Delhi","Delhi","Arts","B.A.|B.Sc.",30000,500000,1000000,"12th or equivalent","No","Government","https://www.mirandahouse.ac.in/"
"Lady Shri Ram College for Women","New Delhi","Delhi","Arts","B.A.|B.Com|B.Sc.",35000,500000,1000000,"12th or equivalent","No","Government","https://lsr.edu.in/"
"Jadavpur University","Kolkata","West Bengal","Arts","B.A.|B.Sc.|B.Com",40000,500000,1000000,"12th or equivalent","Yes","Government","https://jaduniv.edu.in/"
"Presidency University Kolkata","Kolkata","West Bengal","Arts","B.A.|B.Sc.",45000,450000,900000,"12th or equivalent","Yes","Government","https://presiuniv.ac.in/"
"All India Institute of Medical Sciences New Delhi","New Delhi","Delhi","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",80000,1200000,2500000,"12th Science with PCB and NEET where applicable","Yes","Government","https://www.aiims.edu/"
"Armed Forces Medical College","Pune","Maharashtra","Science","MBBS|B.Sc. Nursing",60000,1200000,2500000,"12th Science with PCB and NEET qualification","Yes","Government","https://afmc.nic.in/"
"B. J. Medical College Pune","Pune","Maharashtra","Science","MBBS|BDS|B.Sc. Nursing",70000,1000000,2200000,"12th Science with PCB and NEET qualification","Yes","Government","https://bjmc.edu.in/"
"Christian Medical College Vellore","Vellore","Tamil Nadu","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",120000,1200000,2500000,"12th Science with PCB and applicable entrance qualification","Yes","Private","https://www.cmch-vellore.edu/"
"Seth GS Medical College and KEM Hospital","Mumbai","Maharashtra","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",80000,1100000,2400000,"12th Science with PCB and NEET qualification","Yes","Government","https://www.kem.edu/"
"Grant Medical College and Sir J. J. Group of Hospitals","Mumbai","Maharashtra","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",80000,1000000,2200000,"12th Science with PCB and NEET qualification","Yes","Government","https://www.gmcjjh.org/"
"Government Medical College Nagpur","Nagpur","Maharashtra","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",70000,900000,2000000,"12th Science with PCB and NEET qualification","Yes","Government","https://gmcnagpur.org/"
"Bharati Vidyapeeth Medical College Pune","Pune","Maharashtra","Science","MBBS|BDS|B.Sc. Nursing",1600000,800000,1800000,"12th Science with PCB and NEET qualification","Yes","Private","https://www.bharatividyapeeth.edu/"
"Dr. D. Y. Patil Medical College Pune","Pune","Maharashtra","Science","MBBS|BDS|B.Sc. Nursing",1800000,850000,1900000,"12th Science with PCB and NEET qualification","Yes","Private","https://medical.dpu.edu.in/"
"Kasturba Medical College Manipal","Manipal","Karnataka","Science","MBBS|BDS|B.Sc. Nursing",1600000,1000000,2200000,"12th Science with PCB and NEET qualification","Yes","Private","https://manipal.edu/kmc-manipal.html"
"Madras Medical College","Chennai","Tamil Nadu","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",70000,1000000,2200000,"12th Science with PCB and NEET qualification","Yes","Government","https://www.mmc.ac.in/"
"Government Medical College Chhatrapati Sambhajinagar","Chhatrapati Sambhajinagar","Maharashtra","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",70000,850000,1900000,"12th Science with PCB and NEET qualification","Yes","Government","https://gmcaurangabad.com/"
"Institute of Medical Sciences BHU","Varanasi","Uttar Pradesh","Science","MBBS|B.Sc. Nursing|Allied Health Sciences",80000,1100000,2400000,"12th Science with PCB and NEET qualification","Yes","Government","https://www.bhu.ac.in/ims/"
"Manipal College of Dental Sciences Manipal","Manipal","Karnataka","Science","BDS|MDS",600000,650000,1500000,"12th Science with PCB and NEET qualification","Yes","Private","https://manipal.edu/mcods-manipal.html"
"Indian Institute of Technology Bombay","Mumbai","Maharashtra","Science","B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Aerospace Engineering",250000,2200000,5500000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://www.iitb.ac.in/"
"College of Engineering Pune","Pune","Maharashtra","Science","B.Tech CSE|B.Tech IT|B.Tech Electronics|B.Tech Mechanical Engineering",180000,1000000,2500000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Government","https://www.coeptech.ac.in/"
"Vishwakarma Institute of Technology","Pune","Maharashtra","Science","B.Tech CSE|B.Tech IT|B.Tech AI|B.Tech Electronics|B.Tech Mechanical Engineering",200000,900000,2200000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Private","https://www.vit.edu/"
"MIT Academy of Engineering","Pune","Maharashtra","Science","B.Tech CSE|B.Tech AI and Data Science|B.Tech Electronics|B.Tech Mechanical Engineering",190000,700000,1800000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Private","https://mitaoe.ac.in/"
"Cummins College of Engineering for Women","Pune","Maharashtra","Science","B.Tech Computer Engineering|B.Tech IT|B.Tech Electronics|B.Tech Instrumentation",180000,850000,2000000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Private","https://www.cumminscollege.org/"
"Vellore Institute of Technology","Vellore","Tamil Nadu","Science","B.Tech CSE|B.Tech AI and ML|B.Tech ECE|B.Tech Mechanical Engineering",220000,900000,2500000,"12th Science with PCM and VITEEE qualification","Yes","Private","https://vit.ac.in/"
"Manipal Institute of Technology","Manipal","Karnataka","Science","B.Tech CSE|B.Tech AI and ML|B.Tech ECE|B.Tech Mechanical Engineering",350000,1000000,3000000,"12th Science with PCM and MET qualification","Yes","Private","https://manipal.edu/mit.html"
"SRM Institute of Science and Technology","Chennai","Tamil Nadu","Science","B.Tech CSE|B.Tech AI and ML|B.Tech ECE|B.Tech Biotechnology",250000,750000,2000000,"12th Science with PCM/PCB and applicable entrance qualification","Yes","Private","https://www.srmist.edu.in/"
"Anna University","Chennai","Tamil Nadu","Science","B.Tech CSE|B.Tech IT|B.Tech ECE|B.Tech Mechanical Engineering",80000,800000,2200000,"12th Science with PCM and TNEA/JEE qualification","Yes","Government","https://www.annauniv.edu/"
"National Institute of Technology Tiruchirappalli","Tiruchirappalli","Tamil Nadu","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Electrical Engineering",150000,1400000,3500000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://www.nitt.edu/"
"Indian Institute of Technology Delhi","New Delhi","Delhi","Science","B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Civil Engineering",250000,2200000,5500000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://home.iitd.ac.in/"
"Indian Institute of Technology Madras","Chennai","Tamil Nadu","Science","B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Aerospace Engineering",250000,2200000,5500000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://www.iitm.ac.in/"
"Indian Institute of Technology Kanpur","Kanpur","Uttar Pradesh","Science","B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Aerospace Engineering",250000,2200000,5500000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://www.iitk.ac.in/"
"Indian Institute of Technology Kharagpur","Kharagpur","West Bengal","Science","B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Civil Engineering",250000,2100000,5000000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://www.iitkgp.ac.in/"
"Indian Institute of Technology Roorkee","Roorkee","Uttarakhand","Science","B.Tech CSE|B.Tech Electrical Engineering|B.Tech Mechanical Engineering|B.Tech Civil Engineering",250000,2000000,5000000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://www.iitr.ac.in/"
"Indian Institute of Technology Guwahati","Guwahati","Assam","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",250000,1900000,4500000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://www.iitg.ac.in/"
"Indian Institute of Technology Hyderabad","Hyderabad","Telangana","Science","B.Tech CSE|B.Tech AI|B.Tech ECE|B.Tech Mechanical Engineering",250000,1800000,4500000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://www.iith.ac.in/"
"Indian Institute of Technology Indore","Indore","Madhya Pradesh","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Electrical Engineering",250000,1700000,4000000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://iiti.ac.in/"
"Indian Institute of Technology BHU Varanasi","Varanasi","Uttar Pradesh","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Electrical Engineering",250000,1700000,4000000,"12th Science with PCM and JEE Advanced qualification","Yes","Government","https://iitbhu.ac.in/"
"National Institute of Technology Warangal","Warangal","Telangana","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Electrical Engineering",150000,1300000,3500000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://www.nitw.ac.in/"
"National Institute of Technology Rourkela","Rourkela","Odisha","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Electrical Engineering",150000,1200000,3200000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://nitrkl.ac.in/"
"National Institute of Technology Calicut","Kozhikode","Kerala","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",150000,1100000,3000000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://nitc.ac.in/"
"National Institute of Technology Patna","Patna","Bihar","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",150000,900000,2500000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://www.nitp.ac.in/"
"Malaviya National Institute of Technology Jaipur","Jaipur","Rajasthan","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",150000,1100000,3000000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://www.mnit.ac.in/"
"Visvesvaraya Technological University","Bengaluru","Karnataka","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",100000,700000,1800000,"12th Science with PCM and applicable entrance qualification","Yes","Government","https://vtu.ac.in/"
"International Institute of Information Technology Hyderabad","Hyderabad","Telangana","Science","B.Tech CSE|B.Tech ECE|B.Tech AI and Data Science",350000,1600000,4000000,"12th Science with PCM and entrance qualification","Yes","Private","https://www.iiit.ac.in/"
"Birla Institute of Technology and Science Pilani","Pilani","Rajasthan","Science","B.E. CSE|B.E. ECE|B.E. Mechanical Engineering|B.E. Electrical Engineering",500000,1800000,4500000,"12th Science with PCM and BITSAT qualification","Yes","Private","https://www.bits-pilani.ac.in/"
"Goa Engineering College","Goa","Goa","Science","B.E. CSE|B.E. ECE|B.E. Mechanical Engineering|B.E. Civil Engineering",100000,600000,1500000,"12th Science with PCM and applicable entrance qualification","Yes","Government","https://gec.ac.in/"
"Thapar Institute of Engineering and Technology","Patiala","Punjab","Science","B.E. CSE|B.E. ECE|B.E. Mechanical Engineering|B.E. Electrical Engineering",350000,1000000,3000000,"12th Science with PCM and applicable entrance qualification","Yes","Private","https://www.thapar.edu/"
"Chandigarh University","Mohali","Punjab","Science","B.E. CSE|B.E. AI and ML|B.E. ECE|B.E. Mechanical Engineering",220000,700000,1800000,"12th Science with PCM and applicable entrance qualification","Yes","Private","https://www.cuchd.in/"
"Lovely Professional University","Phagwara","Punjab","Science","B.Tech CSE|B.Tech AI and ML|B.Tech ECE|B.Tech Biotechnology",200000,650000,1800000,"12th Science with PCM/PCB and applicable entrance qualification","Yes","Private","https://www.lpu.in/"
"KIIT University","Bhubaneswar","Odisha","Science","B.Tech CSE|B.Tech AI and ML|B.Tech ECE|B.Tech Mechanical Engineering",250000,900000,2500000,"12th Science with PCM and KIITEE/JEE qualification","Yes","Private","https://kiit.ac.in/"
"National Institute of Technology Silchar","Silchar","Assam","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",150000,1000000,2800000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://www.nits.ac.in/"
"Birla Institute of Technology Mesra","Ranchi","Jharkhand","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Biotechnology",250000,800000,2200000,"12th Science with PCM/PCB and applicable entrance qualification","Yes","Private","https://www.bitmesra.ac.in/"
"Visvesvaraya National Institute of Technology","Nagpur","Maharashtra","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Electrical Engineering",150000,1100000,3000000,"12th Science with PCM and JEE Main qualification","Yes","Government","https://vnit.ac.in/"
"College of Engineering, Trivandrum","Thiruvananthapuram","Kerala","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",100000,700000,1800000,"12th Science with PCM and applicable entrance qualification","Yes","Government","https://www.cet.ac.in/"
"Government College of Engineering Pune","Pune","Maharashtra","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Instrumentation",100000,650000,1600000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Government","https://www.coep.org.in/"
"Walchand College of Engineering","Sangli","Maharashtra","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",120000,750000,1800000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Government","https://www.walchandsangli.ac.in/"
"Government College of Engineering Aurangabad","Chhatrapati Sambhajinagar","Maharashtra","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",100000,650000,1600000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Government","https://geca.ac.in/"
"Government College of Engineering Amravati","Amravati","Maharashtra","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical Engineering|B.Tech Civil Engineering",100000,600000,1500000,"12th Science with PCM and MHT-CET/JEE qualification","Yes","Government","https://www.gcoea.ac.in/"
"University of Mumbai","Mumbai","Maharashtra","Commerce","B.Com|B.Com Accounting & Finance|B.Com Banking & Insurance|B.Com Financial Markets",70000,450000,1000000,"12th Commerce or equivalent","No","Government","https://mu.ac.in/"
"University of Pune Savitribai Phule Pune University","Pune","Maharashtra","Commerce","B.Com|B.Com Accounting & Finance|B.Com Business Administration",60000,400000,900000,"12th Commerce or equivalent","Yes","Government","https://www.unipune.ac.in/"
"Symbiosis International University","Pune","Maharashtra","Commerce","B.Com|BBA|B.Sc. Economics|BBA Finance",180000,600000,1300000,"12th or equivalent","Yes","Private","https://www.symbiosis.ac.in/"
"St. Joseph's University Bengaluru","Bengaluru","Karnataka","Commerce","B.Com|B.Com Professional|BBA|B.Com International Finance",150000,500000,1100000,"12th or equivalent","Yes","Private","https://www.sju.edu.in/"
"Mount Carmel College Bengaluru","Bengaluru","Karnataka","Commerce","B.Com|B.Com Accounting & Finance|BBA|BCA",120000,450000,1000000,"12th or equivalent","Yes","Private","https://mccblr.edu.in/"
"Jai Hind College Mumbai","Mumbai","Maharashtra","Commerce","B.Com|BMS|B.Com Accounting & Finance",80000,450000,1000000,"12th or equivalent","No","Private","https://jaihindcollege.com/"
"H.R. College of Commerce and Economics","Mumbai","Maharashtra","Commerce","B.Com|BMS|B.Com Banking & Insurance",85000,500000,1100000,"12th or equivalent","No","Private","https://www.hrcollege.edu/"
"Ramnarain Ruia College","Mumbai","Maharashtra","Commerce","B.Com|B.A.|B.Sc.",45000,400000,850000,"12th or equivalent","No","Private","https://ruiacollege.edu/"
"Modern College of Arts Science and Commerce","Pune","Maharashtra","Commerce","B.Com|BBA|BCA",60000,350000,750000,"12th or equivalent","Yes","Private","https://moderncollegepune.edu.in/"
"Indraprastha College for Women","New Delhi","Delhi","Commerce","B.Com|B.A.|B.Voc.",35000,400000,850000,"12th or equivalent","Yes","Government","https://ipc.du.ac.in/"
"Fergusson College","Pune","Maharashtra","Arts","B.A.|B.Sc.|B.Voc.",35000,350000,700000,"12th or equivalent","No","Private","https://fergusson.edu/"
"St. Xavier's College Mumbai","Mumbai","Maharashtra","Arts","B.A.|B.Com|B.Sc.",60000,450000,900000,"12th or equivalent","No","Private","https://xaviers.ac/"
"Ramnarain Ruia Autonomous College","Mumbai","Maharashtra","Arts","B.A.|B.Sc.|B.Com",45000,400000,850000,"12th or equivalent","No","Private","https://ruiacollege.edu/"
"K. J. Somaiya College of Arts and Commerce","Mumbai","Maharashtra","Arts","B.A.|B.Com|B.Sc.",60000,400000,850000,"12th or equivalent","Yes","Private","https://kjsac.somaiya.edu/"
"Mithibai College Mumbai","Mumbai","Maharashtra","Arts","B.A.|B.Com|B.Sc.",55000,450000,900000,"12th or equivalent","No","Private","https://mithibai.ac.in/"
"Kirti M. Doongursee College","Mumbai","Maharashtra","Arts","B.A.|B.Com|B.Sc.",45000,350000,750000,"12th or equivalent","No","Private","https://kirti-college.org/"
"Ramjas College","New Delhi","Delhi","Arts","B.A.|B.Com|B.Sc.",30000,450000,900000,"12th or equivalent","No","Government","https://ramjas.du.ac.in/"
"Hindu College","New Delhi","Delhi","Arts","B.A.|B.Com|B.Sc.",30000,500000,1000000,"12th or equivalent","No","Government","https://hinducollege.ac.in/"
"St. Stephen's College","New Delhi","Delhi","Arts","B.A.|B.Sc.",30000,500000,1000000,"12th or equivalent","No","Government","https://www.ststephens.edu/"
"Miranda House","New Delhi","Delhi","Arts","B.A.|B.Sc.",30000,500000,1000000,"12th or equivalent","No","Government","https://www.mirandahouse.ac.in/"
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Arts,B.Des Industrial Design,215500,800000,2000000,Class 12 or equivalent from any stream + UCEED qualification,Yes,Public,https://www.iitb.ac.in/
National Institute of Fashion Technology Mumbai,Mumbai,Maharashtra,Arts,B.Des Fashion Design|B.Des Accessory Design|B.Des Textile Design|B.Des Knitwear Design|B.Des Fashion Communication,240000,700000,2000000,Class 12 or equivalent + NIFT admission requirements,Yes,Public,https://www.nift.ac.in/mumbai/
Carmel College for Arts Science and Commerce,Goa,Goa,Commerce,B.Com|B.A. Economics|B.Sc. Biotechnology|B.Sc. Chemistry|B.Sc. Physics,50000,350000,700000,12th or equivalent,Yes,Private,https://carmelcollegegoa.org/
Dhempe College of Arts and Science,Goa,Goa,Science,B.Sc. Computer Science|B.Sc. Mathematics|B.Sc. Physics|B.Sc. Chemistry|B.Sc. Biotechnology|B.Sc. Botany|B.Sc. Zoology,45000,350000,750000,12th or equivalent,No,Public,https://dhempecollege.edu.in/
Dnyanprassarak Mandal's College and Research Centre,Goa,Goa,Commerce,BBA|BCA|B.Com|B.Sc. Computer Science|B.Sc. Chemistry|B.Sc. Electronics|B.A. Economics,50000,350000,700000,12th or equivalent,Yes,Private,https://dmscollege.ac.in/
Don Bosco College Panjim,Goa,Goa,Commerce,BBA|BBA Travel and Tourism|BCA|BSW|B.A. Mass Communication,55000,350000,750000,12th or equivalent,Yes,Private,https://donboscogoa.ac.in/
Vidya Prabodhini College of Commerce Education Computer and Management,Goa,Goa,Commerce,B.Com,45000,300000,600000,12th Commerce or equivalent,No,Private,https://vidyaprabodhinicollege.edu.in/
Vidya Vikas Mandal's Shree Damodar College of Commerce and Economics,Goa,Goa,Commerce,B.Com|BCA|BBA Financial Services|B.Voc Software Technologies|Bachelor of Business Studies,50000,350000,700000,12th or equivalent,Yes,Private,https://vvm.edu.in/
VP's Mandre College of Commerce Economics and Management,Goa,Goa,Commerce,B.Com,40000,300000,600000,12th Commerce or equivalent,No,Private,https://mandrecollege.edu.in/
Cuncolim Educational Society's College of Arts and Commerce,Goa,Goa,Commerce,B.Com|B.A. Economics|B.A. Political Science|B.A. Geography|B.A. History|B.A. Sociology,40000,300000,600000,12th or equivalent,No,Private,https://cescollege.ac.in/
DPM's Shree Mallikarjun and Shri Chetan Manju Desai College,Goa,Goa,Commerce,B.Com|B.A. Economics|B.A. Geography|B.A. History|B.A. Sociology|B.A. Political Science,40000,300000,600000,12th or equivalent,No,Private,https://shreemallikarjuncollege.com/
Goa College of Engineering,Goa,Goa,Science,B.Tech Computer Engineering|B.Tech Information Technology|B.Tech Civil Engineering|B.Tech Mechanical Engineering|B.Tech Electrical and Electronics Engineering|B.Tech Electronics and Telecommunication Engineering|B.Tech Mining Engineering,100000,500000,1200000,12th Science with required engineering entrance eligibility,Yes,Public,https://www.gec.ac.in/
St. Xavier's College Goa,Goa,Goa,Commerce,B.Com|B.A. Economics|B.Sc. Computer Science|B.Sc. Mathematics|B.Sc. Biotechnology|B.Sc. Chemistry|B.A. Psychology,50000,350000,750000,12th or equivalent,Yes,Private,https://xavierscollegegoa.ac.in/
GVM's College of Commerce and Economics,Goa,Goa,Commerce,B.Com|BBA|BCA,45000,350000,700000,12th or equivalent,Yes,Private,https://gvmcollege.com/
"Symbiosis Institute of Computer Studies and Research","Pune","Maharashtra","Science","BCA|B.Sc. Computer Science|B.Sc. Information Technology",180000,550000,1200000,"12th or equivalent with required eligibility","Yes","Private","https://www.sicsr.ac.in/"
"Symbiosis Institute of Design","Pune","Maharashtra","Arts","B.Des Communication Design|B.Des Industrial Design|B.Des User Experience Design|B.Des Fashion Design",350000,600000,1500000,"12th or equivalent + design admission requirements","Yes","Private","https://www.sid.edu.in/"
"FLAME University","Pune","Maharashtra","Arts","B.A. Liberal Education|B.Sc. Economics|B.A. Psychology|B.A. Economics",500000,700000,1800000,"12th or equivalent","Yes","Private","https://www.flame.edu.in/"
"MIT Institute of Design","Pune","Maharashtra","Arts","B.Des Product Design|B.Des User Experience Design|B.Des Communication Design|B.Des Transportation Design",350000,600000,1500000,"12th or equivalent + design admission requirements","Yes","Private","https://www.mitid.edu.in/"
"ILS Law College","Pune","Maharashtra","Arts","B.A. LL.B.|B.B.A. LL.B.|LL.B.",50000,500000,1200000,"12th or equivalent + applicable law admission requirements","Yes","Private","https://ilslawcollege.com/"
"Symbiosis Law School Pune","Pune","Maharashtra","Arts","B.A. LL.B.|B.B.A. LL.B.",250000,700000,1800000,"12th or equivalent + SLAT/admission requirements","Yes","Private","https://www.symlaw.ac.in/"
"Thakur College of Science and Commerce","Mumbai","Maharashtra","Commerce","B.Com|BMS|BCA|B.Sc. Computer Science|B.Sc. Information Technology",90000,400000,900000,"12th or equivalent","Yes","Private","https://www.tcsc.org.in/"
"Nagindas Khandwala College","Mumbai","Maharashtra","Commerce","B.Com|BMS|BCA|B.Sc. Computer Science|B.A.",80000,400000,900000,"12th or equivalent","No","Private","https://www.nkc.ac.in/"
"Ramniranjan Jhunjhunwala College","Mumbai","Maharashtra","Science","B.Sc. Computer Science|B.Sc. Information Technology|B.Com|B.A.",75000,400000,900000,"12th or equivalent","No","Private","https://www.rjcollege.edu.in/"
"St. Xavier's Institute of Education","Mumbai","Maharashtra","Arts","B.A.|B.Sc.|Education-related undergraduate programs",70000,350000,750000,"12th or equivalent and program-specific eligibility","No","Private","https://xaviers.ac/"
"National Institute of Fashion Technology Mumbai","Mumbai","Maharashtra","Arts","B.Des Fashion Design|B.Des Accessory Design|B.Des Textile Design|B.Des Fashion Communication",240000,700000,2000000,"12th or equivalent + NIFT admission requirements","Yes","Public","https://www.nift.ac.in/mumbai/"
"Christ University Bengaluru","Bengaluru","Karnataka","Arts","B.A. Psychology|B.A. Economics|B.A. Journalism|B.A. English",180000,600000,1200000,"12th or equivalent","Yes","Private","https://christuniversity.in/"
